Relative errors in the analytical Jacobian (top entry)
 vs. finite difference approximation (middle entry)
 are given in the bottom entry.
Highest  9 errors are shown at the bottom of the file.
 
Note that equations are indexed by i and dependent variables by j.
u# 1,2,3 correspond to u,ux,uy.
f# 1,2,3 correspond to fx,fy,s.

    delta u = 1.00E-05


    i    j     fx_u(i,j)      fy_u(i,j)      s_u(i,j)

    7    5    0.00000E+00    0.00000E+00    0.00000E+00
    7    5    0.00000E+00    0.00000E+00    0.00000E+00

    7    6    0.00000E+00    0.00000E+00    0.00000E+00
    7    6    0.00000E+00    0.00000E+00    0.00000E+00
    7    6    0.00000E+00    0.00000E+00    0.00000E+00

    7    7    0.00000E+00    0.00000E+00    0.00000E+00
    7    7    0.00000E+00    0.00000E+00    0.00000E+00
    7    7    0.00000E+00    0.00000E+00    0.00000E+00

    7    8    0.00000E+00    0.00000E+00    0.00000E+00
    7    8    0.00000E+00    0.00000E+00    0.00000E+00
    7    8    0.00000E+00    0.00000E+00    0.00000E+00

    7    9    0.00000E+00    0.00000E+00    0.00000E+00
    7    9    0.00000E+00    0.00000E+00    0.00000E+00
    7    9    0.00000E+00    0.00000E+00    0.00000E+00

    7   10    0.00000E+00    0.00000E+00    0.00000E+00
    7   10    0.00000E+00    0.00000E+00    0.00000E+00
    7   10    0.00000E+00    0.00000E+00    0.00000E+00

    8    1    0.00000E+00    0.00000E+00    0.00000E+00
    8    1    0.00000E+00    0.00000E+00    0.00000E+00
    8    1    0.00000E+00    0.00000E+00    0.00000E+00

    8    2    0.00000E+00    0.00000E+00    0.00000E+00
    8    2    0.00000E+00    0.00000E+00    0.00000E+00
    8    2    0.00000E+00    0.00000E+00    0.00000E+00

    8    3    0.00000E+00    0.00000E+00    0.00000E+00
    8    3    0.00000E+00    0.00000E+00    0.00000E+00
    8    3    0.00000E+00    0.00000E+00    0.00000E+00

    8    4    0.00000E+00    0.00000E+00    0.00000E+00
    8    4    0.00000E+00    0.00000E+00    0.00000E+00
    8    4    0.00000E+00    0.00000E+00    0.00000E+00

